lable,text
-5,"Boyfriend just made me chorizo and veg fajitas cause I'm feeling low. And he added extra spice _Ÿ‘Œ
Boy knows the way to my heart."
-6,"Talk about my generation being attached to their phones when really it's the generation who complain about us that are the worst. 
Put your damn phone down when you have guests. It's rude."
-4,@DexterJManning @Machinima Well that's hella rude. They could have had the decency to tell you about it at the very least
0,@LouJM_ Uhoh spagettio
1,"The only 86th song iv listen to was the harley quinn one, should i listen to more  of the songs â€” Yes. They're great people! https://t.co/x0gIxSwJl2"
0,Is it bad that I sometimes dab whilst I'm driving? â€” Tbh if I'm listening to some music from an 86th floor CMV I do too. https://t.co/TtQ5bvWNVU
0,How did you meet your boyfriend? â€” Through work. https://t.co/yqMPilQIfo
3,"Kathy, you are young, drop-dead gorgeous, with an amazing heart and you do amazing streams, keep up the great work,. I second y... â€” Thank you so much _Ÿ’™ but err, what's a finger friend :/ 
Favourite colour depends on the day, usu... https://t.co/ex3Hn4u2zA"
0,"What is cooler, dabbing or flossing? â€” Dabbing. Ironically. https://t.co/QiT1OFoSxb"
3,"If you had just 1 day left on earth, how would you spend it? â€” Eating all my favourite food. Duh https://t.co/sAkgniEpqr"
0,@_HarriRose All the nachos
0,"I really want this to happen. If you can spare Â£3/$3 you can help support me in making the @FortniteGame skin. 
https://t.co/Waa2Jok4N4
#support #fortnite #cosplay #kofi https://t.co/xMFWbZefrK"
0,This is the first time I've done a ride share solo
0,_Ÿ˜‚_Ÿ˜‚_Ÿ˜‚ https://t.co/S0A0XFFdEX
0,uhhhh https://t.co/5NjblhOp8l
0,cool prius brah _Ÿç» https://t.co/1aBWMlzevF
0,Gm
-6,I feel empty :(
0,https://t.co/ofTMLLEqRP
-2,still thinking bount banksy
-10,I hate mental hurdles
0,Mount Kimbie had a great visual component âœ¨_ŸŒ_ https://t.co/BrgKaAa4Jo
0,And I got to re-unite with some squad fam
10,"Also mount kimbie was excellent, I felt so relaxed and posi afterwards, such warm synths"
5,LOL https://t.co/Cnl9IxLQCn
9,the group opening for mount kimbie is rlly good
0,dis optimus prime hittin
0,"sometimes the bus,,,,,,,may be sus,,,,,"
-2,blank face
0,thinkin bount banksy
0,werk https://t.co/LjCWIHaWxH
0,everyone has some opinion on the right way to do something they've never done
-2,"do work: they judge you
don't do work: they judge you
voicing your goals: they judge you
prove them wrong: still judge you"
-4,"being ironic: people judge you
being earnest: people judge you
talking frankly about issues in your life: people judge you"
0,cool https://t.co/Q2aiZrYr7n
-6,lyfe is ruff
-3,"Busy day, but I'm glad this stuff is off my plate for now, less to stress over. No real consequences for delaying my major, just need to submit a few forms and email professors for other stuff"
0,https://t.co/HqN4lZw5pc
0,https://t.co/M3MA1FO1Ux
0,BBC RADIO 1 ESSENTIAL MIX
-1,Just wanna get paid to music
-1,Still gotta go to the financial aid office about tuition stuff tho _Ÿ˜‘
2,Glad I squared that away. I think the move is put my degree on hold and spend the interim period saving money and getting experience so that I can be fully independent and then once I'm pretty steady with that stuff return to finish
0,Anyone going to Mount Kimbie tonight? I'm gonna try to get a last minute ticket
0,@ideoautiste _Ÿ_” https://t.co/BQYYl6sKpW
0,we need a remake of slumdog millionaire but it stars wario
1,Wario did nothing wrong _Ÿ’¯
0,@badjujumuzik Or asking someone's name as a question
0,"I got a strain called optimus prime, ya boy finna be a cyborg when I smoke it"
-1,"they had two 1 gram pre-rolled for like 7 bucks, like thats wild"
2,"gr8 shop. thankful for legal weed. cheaper, more consistent, more variety, all sorts of edibles. it's tite."
-1,take your aÃ§ai bowl and fuckin shove it up your a*s nerd
0,*activated dammit
-3,"Doritos. Fucking. Consomme. 
It's time to stop. 
https://t.co/cFP7jwu2h5"
-5,"white people also love mixing all sorts of disparate cuisines and upselling it. It's so lame. Saw a sandwich one time at UW that was like $8 and had ""massaged kale"""
0,Brazil is better at fruit juice. FOH whitey.
-6,"a lot of these aÃ§ai places have legitimately made me hate white people more, it's the only time I've really ever experienced or cared about ""cultural appropriation"" bc it's so lame lol _Ÿ‡§_Ÿ‡·"
0,matcha? FOH nerd.
0,kombucha is tite too but I'm not one of those kombucha fuccbois
2,I'm still cool with Soylent I just haven't had any real need or desire to get it bc I've been cooking more nutritious meals for myself
0,I drink whey protein instead of soylent now in an effort to be more chad. Also bc it gets expensive.
0,"(me, personally)
2016: soylent
2017: cold brew at home
2018: juuling _Ÿ˜_"
6,I consider myself a juul evangelist
0,https://t.co/Ahl2yx1K4k
0,"juul in one hand, blue red bull in the other, strolling down the street like an absolute boss _Ÿ˜__Ÿ‘Œâ™¨ï¸è"
1,cool playlist bro
0,"you're the man now dog,,,,,,,,simpler times,,,,,â˜ùï¸è_Ÿ˜”_Ÿ’¯_Ÿ–±ï¸è"
3,the ytmnd for that is so good lol. classic
0,ah ah ah you didn't say the magic word https://t.co/MfqRhCC9oO
3,that song from Jurassic Park has been poppin into my head a lot lol
0,@willmenaker Lol
3,lol I came to bartells to pick up from the pharmacy and they're playing ants marching _Ÿ˜‚_Ÿ‘Œ_Ÿ_™
0,a la kevin smith
0,https://t.co/Clm68n5l34
0,"just walked past boogie2988's doppelganger, he was wearing jorts"
0,https://t.co/3bMafg0Cqt
0,https://t.co/Yi2ONoCxUY
0,every month is nanowrimo if you're cool
0,"_Ÿ’¨_Ÿ‘Œ_Ÿ”‚
https://t.co/Kl8E414z2I"
0,sade music is very based
0,https://t.co/QZT4CPqbXJ
0,In addition to actually getting paid to write
-1,One of the few cool English advisors in the department moonlights as a DJ so I'm gonna ask him about side hustle tips
2,"I just really fucking love @OliviaDBuck, absolute girl crush _Ÿ’–"
0,Have you ever considered a 3 sum? â€” 3 sum of what? Like 3 sums of Â£100k? Absolutely I have. https://t.co/QYCg4xyo23
0,"#MentalHealthAwarenessWeek will end soon but the mental illnesses that so many of us suffer with will carry on. If anything, this week should teach us to become kinder, less judgemental and more sensitive to what people may be going through. 
MentalHealthAwareness"
-1,"do you have a go to method for dealing with your mental illness? for example, I turn to vlogs, and falling asleep with backgrou... â€” I do similar things to you. I follow this amazing blog on YouTube called @plushtimewins, they're... https://t.co/r6EtmiLtXb"
-2,"What about 10 million to nut in..?_Ÿ˜è_Ÿ˜‚ â€” Genuine, kind, intelligent questions would be grand. https://t.co/z3SahdP1tF"
0,"You have a great figure and a beautiful face Iâ€™m sure everyone would like to see that! â€” Well yknow, if money ever gets tight or a I lose my job I have something to fall back on! https://t.co/cZbPkp71ob"
0,"Would you ever consider being a cam model? â€” Nah, I don't think anyone needs to see that lol https://t.co/6dbvXzPVp9"
1,"I need a best friend, how does one go about that? Do I put out an advert or?"
-1,"Have you ever kicked a guy in the balls? â€” no, do one with these questions ffs https://t.co/14L0AJEtio"
0,"I would if i could, surely its the thought that counts _Ÿ˜‚ â€” Nah Â£10mil or nuttin am afraid https://t.co/69Ebca5B2J"
0,@sophie_boshier Nor me! It's blows my mind. Can't get my head around it _Ÿ˜‚
0,@TJY001 His parents said that too!
0,@KingBailando42 @ella12577605 @CeruleanGates @nameterminated @BellaMoonP @Twtercide @MilosRocks @Royal_RannaAnna @MofoMike02 @ThatMFbriaN @nonchalantnacho @Pigface0 @HaileyGiordano @JoelleAZeidan Thanks boo! Too kind! â˜ºï¸è
1,So I hear Laurel and Tom hears Yanny and I've never needed to get inside a man's head more than I do now.
-1,Man just wants some Savage and some Fenty Beauty is that too much to ask
0,Sounds like the best buy one get on free ever! Dunno why thats not advertised on the tele _Ÿ˜‰_Ÿ˜‚ â€” Lol if anyone would like to give me Â£10mil go ahead https://t.co/NpoRNfyVdR
3,@Jessica__May__ So funny _Ÿ˜‚
2,Is that 10 mil per titty or is it buy one get one free?_Ÿ˜‚ â€” For 10 mil you can have buy one get one free lol https://t.co/OnwsMvoDoo
-1,Do most girls hate uncircumcised? â€” _Ÿ™„_Ÿ™„_Ÿ™„ https://t.co/W1CSd8iBLe
-2,"Jamie Oliver needs to be stopped. The problem isn't cheap junk food, it's that healthy food is bloody expensive. Why not campaign for that?!
It's alright to sit in your ivory tower with lots of money and dictate what we should eat, but not when we can't afford it @jamieoliver"
0,Why do lads you don't even know feel entitled to a response from you? I owe you nothing.
-2,"You? Tryna flex on me? 
Don't be silly."
3,Will Smith is 50 this year and he is still fire af. There will never be a day that I wouldn't go there _Ÿ˜ç
5,"You can push me out the window I'll just get back up, you can run over me with your 18 wheeler truck and I won't give a fuck"
5,"Everyday is an uphill battle and sometimes a smile is the hardest thing to put on, but if it keeps the outside world from asking questions then I'll keep wearing one. Life with mental illness is hard, but he makes it a little easier #SmilingWithMentalIllness #MHAW2018 https://t.co/Aog9uHNrq5"
6,17 years later and @Pink's Missundaztood album is still incredible.
-4,"I'm a hazard to myself, don't let me get me."
0,12 years ago man _Ÿ˜__Ÿ˜_ https://t.co/jfMKRLJIrA
-3,1 millions too cheap for them titties! Raise your price bef i think you can get more! _Ÿ˜‰_Ÿ˜‚ â€” 10 mil! https://t.co/KeERWX8Af6
4,"@Jessica__May__ Nice one girl! Glad you tracked them down and stuck it to them. Absolutely no need of it and you seem lovely, so it's obviously jealousy if someone has to commit so much of their life to bullying you. Glad it's stopped now _Ÿ˜_"
-2,"@Jessica__May__ I'm sorry you experienced that, people change when they think you won't find out who they are. Some of the questions I get just blow my mind _Ÿ˜‚"
0,Come on just the tities would be fine â€” Unless you have Â£1mil to give me it ain't happening https://t.co/TCYCGU9ASG
0,@Jessica__May__ Not backwards in coming forwards are they _Ÿ˜‚
-1,Can you send nudes? â€” Nahhhhh mate https://t.co/O08MeWbvoM
0,How long have you been with your bf? â€” 3 years this November https://t.co/5ych9Hp9Hg
0,Which would you Do? Forward to suck or back to get on it. Or just both? â€” That's disgusting. https://t.co/5ysXdP9lbm
1,How hot is too hot? â€” When even the breeze is warm. https://t.co/GZxpp9wCai
0,If your father was behind you naked and your boyfriend was infront of you naked. Would you push forwards or move backwards? â€” Wtf lol https://t.co/FSJEWTj1Hb
10,Gonna try have the best Tuesday I possibly can because we all know Tuesdays are _Ÿ’©_Ÿ’©_Ÿ’©
3,Blind Faith by Chase &amp; Status is just one of those songs that will always get me hyped for a night out.
7,If you think I'm planning my whole weekend around watching the Royal Wedding then you are absolutely right.
0,I need more spontaneity in my life
0,Why can't I live in a world without spiders
0,The chub rub is real when it comes to thick thighs
10,Starting the week off right â˜ºï¸è https://t.co/OgyW13L0Vx
0,"So if ass is your thing, can we assume what your favourite position would be _Ÿ˜‰_Ÿ˜‚ â€” Ummmm can we not lol https://t.co/iXukAwc3Lc"
8,What are you up to today? â€” Work and working out â˜ºï¸è https://t.co/jesg5EJfFk
0,My fave everyone. What an absolute babe _Ÿ˜ç_Ÿ”¥ https://t.co/IxAiub4mse
0,Ask me anything! https://t.co/FyXamHOC2u
-10,"Mental health awareness &amp; support needs to begin in schools, so often children's feelings are disregarded as ""silly"" due to their age but I full believe if MH was promoted at an early age with adequate support given to kids, it could make a difference. #MentalHealthAwarenessWeek"
-10,"The reception I received from the people I told, my previous work place and even family wasn't always as positive as I anticipated and for a long time (even now) I felt isolated, alone and as if this world wasn't for me... #MentalHealthAwarenessWeek"
-10,"I've also undergone counselling therapy with the charity @MindCharity (incredible people!) and I can honestly say, living with mental illness along with Crohn's disease is the most bumpiest and difficult things I've ever had to adjust to.. #MentalHealthAwarenessWeek"
-10,I will never not share my story in the hopes that it will help even just one person struggling. I was diagnosed with depression and generalised anxiety disorder probably about 5/6 years ago now and have been on antidepressants ever since.. #MentalHealthAwarenessWeek
9,"@KF__xo Aw that's so sweet of you, thank you! â˜ºï¸è x"
0,"Mental Health Awareness Week should be every week. We're in 2018, suffering a mental illness shouldn't be such a taboo issue. We need to be more open, more accepting and more forgiving towards those who are struggling. Mental illness is real. #MentalHealthAwarenessWeek #MHAW18"
0,I need help. Do I get filler in my upper lip or will I regret it?
-1,One of those days where I just need chocolate. It's not good.
0,"Yo if Pete Wentz wants to call his newborn daughter Marvel, Pete Wentz can call his newborn daughter Marvel. 
He's fucking Pete Wentz."
3,"so last week my resting heart rate was 72, and this week I've managed to get it down to 64, very happy with that."
0,Is it possible to undergo a forehead reduction?
5,@kaylakavanagh7 Pffft says you girl! You're beautiful. Thank you lovely â˜ºï¸è
10,This teacher deserves an award. What a man. Let kids be kids while they still can. https://t.co/wG8o7V3VJs
-2,Sick of being mugged off.
0,Are you single? if yeah can you be my girlfriend â€” Lol no I'm not I'm afraid https://t.co/SviZnGzVbN
0,"Does dick size matter to you? And whatâ€™s the ideal size in your opinion? (Inches, thickness, etc.) â€” lol never you mind https://t.co/Yzm44ISEK9"
6,So so so sweet _Ÿ˜_âù_ï¸è https://t.co/lvrqKx29ni
0,Would you be more of a boobs guy or an ass guy? â€” Probably an ass guy. https://t.co/h8UNzYKhMW
0,"If I was rich, I'd quit my job and open a dog shelter on the grounds of my big house. Then, I'd take all the abandoned doggo's in and look after them, happily ever after.
Thank u for listening x"
-1,"So much controversy around that new Rita Ora song ""Girls"" due to its message but no one is addressing the fact that it's absolutely shit."
2,Aw man I really want a Nintendo Switch :(
0,"Bit late to the party, but in Pharrell's song ""Happy"" he asks the listeners to clap along if they feel like a 'room without a roof' and I'm sorry, but if I had a room without a roof the last thing I would be is bloody happy."
0,Would love for the person who thinks I'm bitchy to show their face. After the day I've had I could do with an argument.
0,"No need to thank me, sorry for being a bad influence too haha â€” Hahaha s'all good https://t.co/daNUsHNeYO"
4,"Hope Iâ€™ve made you smile tonight even if it was just making you laugh â€” Thank you, that's so sweet :) https://t.co/wYjypWT44j"
0,"i wish you were my girlfriend, so i could treat you like a beautiful girl like you deserves to be treated .. OH MY GOD, PLEASE... â€” _Ÿ˜‚ don't be begging, ur better than that https://t.co/4bd0ijZnJe"
0,HAha I pictured you with a big cheeky smile on your face reading that haha â€” Pahaha go away with your bad self https://t.co/VvGFJI0U5M
-1,"Hope youâ€™re doing ok, I messaged your a few days back and didnâ€™t hear back from you. â€” I just have a lot going on sorry https://t.co/efqKNyVLBM"
-2,Yeah honestly I think your eyes could get me into lots of trouble haha â€” Hahaha! https://t.co/BcsYpSOINM
3,"Have you ever been told that you have amazing eyes? â€” Someone did on here a few days back haha, but thank you :) https://t.co/m9yNvDFnBv"
0,add me on sc if u like https://t.co/KPfXnDxsnh
0,Haha well your deffo not a petty bitch believe me! â€” Thanks :) https://t.co/UaDQtujdlX
0,A fellow oversized tee wearer! Though do you wear shorts under them? â€” Not if I'm sleeping but if I'm wandering around then yup https://t.co/TAavZfRGcD
0,"Is the best way to talk to you on timeline or DM? â€” Either really, I try really hard to reply but I'm pretty rubbish at it https://t.co/bIdsAxwjZC"
-1,Do you wear pjs or you a oversize tee kinda girl? â€” Oversized tee https://t.co/b7UsOYSkCV
1,Haha no I wonâ€™t shut up! Haha you look gorgeous! Xxx â€” Too kind https://t.co/vQ3XHEBXhC
0,DO any of your followers annoy you? â€” Potentially the one who thinks I'm a petty bitch paha https://t.co/cdmPlVKstD
3,You look so good in that pic from today! Lips look amazing xxx â€” Shut up haha thanks! https://t.co/kwwAJtSHoF
0,"Do you always wear heels or only on nights out? â€” I'm like 5ft 11 nearly so only on nights out, I don't like standing out lol https://t.co/wqJkIwil62"
0,Bloody state on me today. https://t.co/CGwu3OiNOh
3,Bet youâ€™d look so good in that outfit but have no idea what barely there heels are. But I bet you look so good in heels regardl... â€” Hahaha thank you! https://t.co/Xcc5kdJ3F7
0,Are you a trousers or skirt/dress kinda girl? â€” I do love my skinny jeans but it definitely depends what mood I am in https://t.co/NyCrCs0swC
-1,Scrolling through my tweets trying to find the petty ones and am struggling... lol
2,Do you have a go to outfit for a night out? â€” I absolutely love a playsuit with barely there heels and a leather/denim/suede jacket https://t.co/zDIaTb6BTV
0,Does size really matter? â€” Nah. https://t.co/zyylpPJKyg
2,What do you prefer nights in or nights out? X â€” Definitely nights in! But I do get in the mood for getting dressed up and going out out now and a... https://t.co/Mej6d9vxKd
0,Do you prefer a guy to shave? â€” Really doesn't bother me https://t.co/PKJZ5vmq5m
2,"Do you think its bad that I don't love / know every song by my favourite band? I obviously love so much of their music though â€” No! You do you, if they're your favourite band then they're your favourite band - there's no rule... https://t.co/YPtBZ3TsKr"
-1,Girl just be happy with who you are. stop being so damn bitchy too. Also just maybe think before posting petty shit. â€” Um what? Care to elaborate? https://t.co/Do07iZLl5Y
3,Your so cute! Looked so good in those shorts too! â€” Thanks! https://t.co/dnr4ps0MGL
-1,"MIssing talking to you, I hope youâ€™re feeling better though x â€” Who's this? X https://t.co/IDP76lrqzQ"
2,can i be the gentleman you are looking for? you are fucking pretty â€” Haha that's too sweet of you x https://t.co/aazwqERrBh
1,@TJY001 Thank you! :)
0,"@TJY001 Nah, I'm with my nephew tonight. He's having a sleepover with me :)"
0,Ask me anything! https://t.co/FyXamHOC2u
-4,WE DRESS FOR OURSELVES DUMBASS. ITS NONE OF YOUR BUSINESS AND STOP LOOKING AT US. https://t.co/QEEuzjY1Bm
1,And maybe he wont find out what i know â€” That you were the last good thing about this part of town https://t.co/UuvQquCdxU
1,And thank you in return for this blessed picture _Ÿ™Œ_Ÿè_ https://t.co/tc2RCXSjLT
0,"Funny thing is, she's probably tweeting this using an iPhone/Samsung, whose CEO's are billionaires. So, logic dictates that she's partly funding the billionaires and then moaning about the money they have. https://t.co/bcgIUu2pfg"
0,"Maybe if I stop telling myself I'll get an early night, I will actually fall asleep early"
0,You don't know him like I do.
-2,"I HOPE THE ROOF FLIES OFF AND WE GET BLOWN OUT INTO SPACE
I ALWAYS MAKE SUCH EXPENSIVE MISTAKES"
-2,I should really get some sleep now.
2,"I'm stuck in the sunshine riptide, dancing all alone in the morning light"
3,Can always trust my boys Fall Out Boy to bring me back down to earth and cheer me up _Ÿ–_
0,Where is your boy tonight? â€” I HOPE HE IS A GENTLEMAN https://t.co/eT4H6nR57N
0,@mrleemc1984 Not sure if I'm brave enough! _Ÿ˜‚
0,@jeremybradley49 It's a horrid pain! I genuinely think it's the end when they cramp up _Ÿ˜‚
0,How on earth do I stretch out my calves without them cramping me to death? Worst cramp in the world hands down.
1,"I just bloody love @OliviaDBuck, such a beaut _Ÿ–_"
0,Ok so I want a baby just to tie balloons to him/her. Hours of fun. https://t.co/nJkpPUNekP
10,Workout number 4 and I'm feeling so positive. I lose weight so quickly when I try and I'm excitedddddd to get skinny âœŒ_Ÿè_ https://t.co/DMncG065gT
0,@ChadFouillard_6 Mam :) my mother
9,I literally have the best mam ever âù_ï¸è
0,"@kellycool82 HA YEAH, shitter!"
0,@nath_hill29 I know! Can't blinking afford it!
-1,"I've had quite a few people DM as of late and I'm super sorry that I can't reply. I'm just not in the mental mindset to hold a conversation at the moment, I promise I'm not being rude."
0,"@LiamMally1 Haha it did, thanks!"
-9,It costs Â£8k to end your life in Switzerland so I can't even afford to kill myself nicely lol
-3,@LiamMally1 Seeing shit that upsets me
0,Clicking on twitter was a shit idea.
0,Baggy jumpers &amp; shorts forever. Night x https://t.co/EiyOWP8RJe
0,"Who was your best friend growing up? â€” In primary I had two best friends called Lewis and Luke, but then got sent to an all girls school... https://t.co/AoiBJ8zFoY"
2,@TJY001 Thank you! :)
1,"Boom, workout number 3 of the week â˜ºï¸è_Ÿ’ª_Ÿè_ https://t.co/4zN5r9PSSl"
2,I weigh 137 pounds can i give you a piggyback? â€” Nah I like my feet firmly placed on the ground thanks https://t.co/W9rEce5pnz
-1,I need to find me a good gym that I don't mind paying monthly for
1,@LiamMally1 Aw thank you! I need comments like that! _Ÿ’ª_Ÿè_â˜ºï¸è
0,"i weigh 125 pounds, can u give me a piggyback ride? â€” Crack on https://t.co/wrCSM7v8J3"
0,@Oloni â˜ºï¸è_Ÿ˜‚ https://t.co/UntqyZU4Wb
0,"""Must get a workout in today, must not nap...""
She says while getting into bed."
0,"@TJY001 @Ed_Miliband Me too, I was rooting for him all the way but of course the right wing media took a huge disliking for him which didn't help."
5,I still love @Ed_Miliband after all this time. What a babe.
-6,"The quality of driving on the roads these days is awful. 
Also, there are far too many Fiat 500's on the road. Someone burn them."
0,"@MiPS1608 Chunks of time set aside for what's a priority, remembering that stuff that is important but not urgent becomes urgent if you leave it!"
0,@KaSpill @sukhpabial Tritto.
-3,@MrEugeneGrant Done. Seriously offensive.
0,"""Nobody will ever end poverty; not even Bono!"" @dalisochaponda Brilliant."
0,@dalisochaponda Citizen of Nowhere on Radio 4 now. Do not miss it!
0,Looks fab - right up your street @joolsbk ? https://t.co/G7nnQ2vf5o
0,"@stuart989 @UKScouting @ScoutsScotland @TimothyKidd @matthyde That's an interesting question; you're right, perhaps I don't know. What is a logo for?"
5,Wow. Well that told me. Thank you to everyone that told me how wrong I was yesterday. Good to see that Scouting is in such good hands.
0,@stuart989 @UKScouting @ScoutsScotland @TimothyKidd @matthyde The symbolism that is in the World Scout Badge has been stripped out of the logo.
-3,@stuart989 @UKScouting @ScoutsScotland @TimothyKidd @matthyde With all of the symbolism stripped out. Bland. How sad.
0,@JD_Dillon Last year it was mindfulness and AI. The year before it was engagement an neuroscience. I think there is a committee in Switzerland that comes up with the criteria.
-3,"@sukhpabial Agree. I wondered what agreement these women had. What footage wasn't shown, and did any of the men protest? (I'm sure many did) Everyone seemed compliant."
0,@sukhpabial What makes you say that Sukh?
0,Why would anyone need to be a multi billionaire?
9,@sukhpabial Blessings and blessings and blessings rain on you and yours my friend. Love the authenticity of this generous share. Hope sleep has brought relief. Continue to care for yourself so that you can care for others.
0,@familyhrguru Who won?
0,@joolsbk @WSCCNews The need in Secondary Schools is really pressing.
-3,"I strongly recommend that you take a look at #ShareAStoryinOneTweet Some heartwarming, some heartbreaking.  #NotAllHeroesWearCapes"
0,"It's #MentalHealthAwarenessWeek. I wonder what West Sussex Schools are doing to support their pupils who have been diagnosed with anxiety, depression or stress. @WSCCNews"
0,Should I be watching Eurovision or Britain's Got Talent?
0,@Gary_Cookson Then bloomin well go for it. Get them eyes closed!
0,@Gary_Cookson Depends on sooo many factors. But basically no. Unless there is a cracking film on.
0,@Tracey_Ann_C Have another glass of wine.
10,@Leilanimitchel Spending the day with some seriously wonderful people.
10,"OK , I'm going to say it. Paying taxes is a privilege. Paying a higher rate tax is an utter privilege. If you don't agree try paying no #tax."
7,@StBenedictsCtr @StAugustinesCo Lol. We forgave you. Both times.
10,Thoroughly enjoyed my day today. Thank you @StBenedictsCtr for your  hospitality and @StAugustinesCo for your teaching.  Also Evlynn for her beautiful voice. Who knew that listening to Deuteronomy could be so soothing.
0,Superb day. https://t.co/cVmUOcTZ8M
0,@gtdegraaff @simonpstocks @StAugustinesCo @StBenedictsCtr @CanterburyDio @ChichesterDio @SouthwarkCofE You're not making any friends here Guido.
5,@MarkHendyHR Oh my. Thank God for random strangers.
0,@TrudiO53 Battling with an assignment. Send help! :-)
0,@ziaurrahmanlike #Rude
0,Is there a word for people who gate crash trending # etc with their own agendas. For some reason it really bugs me. #Rude
0,@JacksonT0ny @_sarahsto_ @JayneHarrison3 @HaydenDavidhrd I for one would like to read that Tony.
3,"Before I go though, everyone who has said on here ""this is a great question, I need to think about that"" you're already doing brilliantly. #LDInsight
Gone; Mrs Webb has left the building."
0,Got to go!!! #LDInsight Catch you later.
0,Could we set up a group - possibly as part of #LnDCoWork - to check each other's work somehow? Would this work? #LDInsight
0,@LightbulbJo Possibly - but rarely I would guess (my bias?) #LDInsight
0,Anyone? #LDInsight https://t.co/Mk3Rjhl6EJ
0,This is such a challenge to me. Anyone got a personal policy/practice of how they address this? What steps do people take to light up their bias? (Conscious or unconscious!) #LDInsight
0,"@LightbulbJo Another slant is ""how do we address the effects and implications of our unconscious bias?"". #LDInsight"
0,Wondering what @SavvySarahSPM is doing right now - she has done some work in this field. #LDInsight
7,"@sukhpabial Be encouraged; most responses here have been ""great question!"" I sense a willingness to explore. #LDInsight"
0,"@sukhpabial And that *not admitting* is key to it. 
#LDInsight"
10,"Excellent q this morning.  Hand up, I'm not sure that I am. Looking forward to this. #LDInsight https://t.co/mybPY2gmWn"
0,Morning from Littlehampton #LDInsight https://t.co/h6ZSqNHSaI
5,This thread. Whilst there are people willing to push and speak on behalf of the vulnerable then the human race has hope. https://t.co/lgWscTsApH
0,@nickbeddows In a launderette?!
1,"@qyorkanth In his defence, he was saving me from myself. #ToughLove :-)"
0,"@JacksonT0ny Go on then, which one?"
-1,@Leilanimitchel My husband and I are arguing about wine. I want wine. He's offering tea.
0,A model if good management principles. It's all about context! https://t.co/Kq4XmxGDX4
0,@MikeShawLD @fionamcbride Might be the very smartest of objectives.
0,@teago_emplaw All makeup is a con. Except mascara obvs.
0,@dds180 So sorry David. Go gently with yourself.
0,@JacksonT0ny I bet I can. Woof.
0,@Leilanimitchel _Ÿ_‰_Ÿ_ˆ
0,There is hope for humanity. https://t.co/xonsZ8PCsX
-2,"@dougshaw1 @markcatchlove @JacksonT0ny To be clear, I have no problem with people doing pro bono work or people speaking for free (or expenses etc) at events.  It's impertinence I have a problem with."
0,This tweet wins. Good morning all. #GDPR https://t.co/GDSvWh1OC4
0,@paulaquigNI Sigh. A man in a suit is the boss. A woman in a suit is his secretary. What year are we in? #StillALongWayToGo
2,@dds180 Oh good grief.
0,@dougshaw1 @markcatchlove What strikes me about this stuff is this: do the delegates and sponsors (who are coughing up the dosh) realise that the speakers are appearing for exposure? I'm not saying that 'free' equals no value but you have to wonder about their quality &amp; intent. Or have I missed the point?
0,@dougshaw1 @martincouzins Thank you. Will have a look later.
6,"Morning - anyone got proper research/articles on motivation, focus and getting your sh#t together? Working on a little project. Ta nicely.
 #Motivation #Neuroscience #Habits"
4,"Talking with my client this afternoon about helping their staff to not just DO customer service but to BE customer servants.
#CustomerService - more than just being friendly. (Though that helps!)"
1,@JacksonT0ny @UKICFConference Have a good day Tony.
0,@andymather1 I'm really surprised he bothered with the door.
-1,@MarkHendyHR Those clouds look threatening. Have a lovely time if you can.
0,@OdulBozkurt Good grief.
0,@PewPunter @SarahRuthHoyle @SouthernRailUK Quite.
0,@TrudiO53 Ditto - hope we see you again.
2,"@AntonioParis Oh my, the female astronauts have skirts on. Hilarious!"
0,@SarahRuthHoyle @SouthernRailUK That's the thing about plans - they're not prophecies. They're always in a state of adjustment; or should be. If you plan 6 months ahead you need to include in the plan a revisit of the plan nearer the time. That's good planning! Which I think is Sarah's point.
0,"Your brain is too clever. It's so clever, it gets stuff really wrong sometimes. This Surprising Illusion Makes Two Copies of the Same Image Look Like Different Photos https://t.co/Pc8xHjk6vD via @sploid"
0,I am attending 4 different services today. They could not be more varied in style and tradition. I think it's a mark of my spiritual growth that I now find I like all if it.
0,@KateGL Yes.
0,"@Kodpiece Hands off, it's all mine! :-)"
7,@Gary_Cookson @kaaattttiieee How lovely.  Congratulations to you all.
0,"Just brilliant. You can almost hear the little tike saying "" Oh bum!"" https://t.co/Upll8zePLU"
0,"Seems legit.
""My Name is Barrister GonzÃ¡lez ElÃ_segui, I am a lawyer from Spain, I have an important business proposal worth USD $ 12.8 million for you, The fund belongs to my late client and I was a native of your Country. who died along with his entire Family in December 2010,"""
0,@teago_emplaw You know I would if I could. :-)
-1,I may or may not be under the influence. Now is the moment to ask me for stuff.
0,@sukhpabial Absolutely. It's a least worse choice  which is less democracy and more a gamble. #HowDoWeGetMore
0,Take a look at this folks.  Live in #Sussex? Love #gardening? New kid on the block. Online garden stall. Fab. https://t.co/3m97fMwnTi
0,@ballantine70 @JacksonT0ny Or should that be boob!
0,@ballantine70 @JacksonT0ny Boom!
0,@ballantine70 And rather stupidly.
-2,@Tracey_Ann_C Stuff of nightmares!
-6,How much more? I have never felt so ashamed to be British. https://t.co/wrAkhVejgB
0,Just listened to this by @dalisochaponda . Exceptional.  Grab it and listen yourself. https://t.co/UckeKzzHoY
-2,"@dalisochaponda Also, I'm really sorry. It's inadequate but it's all I've got."
5,Thank you; this was brilliant. https://t.co/8GstfixzEj
